MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST,model_year
chevrolet,silverado 3500hd reg cab l/box drw 4x4,14,559,244,196,339,2960,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box drw 4x414
chevrolet,silverado 3500hd reg cab l/box srw 2wd,14,559,203,196,339,2619,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box srw 2wd14
chevrolet,silverado 3500hd reg cab l/box srw 4x4,14,559,203,198,339,2763,136,283,44,89,129,100,120,175,172,N/A,silverado 3500hd reg cab l/box srw 4x414
chevrolet,sonic 4dr sedan ls/lt/ltz/rs,11,440,174,152,253,1245,97,51,35,81,103,89,98,151,151,62/38,sonic 4dr sedan ls/lt/ltz/rs11
chevrolet,sonic 5dr hatchback ls/lt/ltz/rs,11,404,174,152,253,1230,97,121,35,82,103,89,62,151,151,62/38,sonic 5dr hatchback ls/lt/ltz/rs11
chevrolet,suburban 4dr suv awd,14,570,204,189,330,2620,138,261,43,103,122,103,137,173,173,51/49,suburban 4dr suv awd14
chevrolet,suburban 4dr suv rwd,14,570,204,189,330,2511,138,261,43,103,122,103,137,173,173,51/49,suburban 4dr suv rwd14
chevrolet,tahoe 4dr suv awd,14,518,204,189,295,2515,138,209,43,103,122,103,120,173,173,52/48,tahoe 4dr suv awd14
chevrolet,tahoe 4dr suv rwd,14,518,204,189,295,2408,138,209,43,103,122,103,120,173,173,52/48,tahoe 4dr suv rwd14
chevrolet,traverse ls/lt/ltz awd 4dr suv,13,517,199,178,302,2197,118,210,39,91,118,102,113,171,170,55/45,traverse ls/lt/ltz awd 4dr suv13
chevrolet,traverse ls/lt/ltz fwd 4dr suv,13,517,199,178,302,2107,118,210,39,91,118,102,113,171,170,55/45,traverse ls/lt/ltz fwd 4dr suv13
chevrolet,trax ls/lt/ltz fwd 4dr suv,13,426,178,167,256,1382,109,140,36,92,105,94,76,154,154,60/40,trax ls/lt/ltz fwd 4dr suv13
chevrolet,trax lt/ltz awd 4dr suv,13,426,178,167,256,1476,109,140,36,92,105,94,76,154,154,60/40,trax lt/ltz awd 4dr suv13
chrysler,200 4dr sedan awd,14,490,181,147,275,1721,128,55,36,85,125,105,110,161,158,60/40,200 4dr sedan awd14
chrysler,200 4dr sedan fwd,14,490,181,147,275,1575,128,55,36,85,125,105,110,161,158,60/40,200 4dr sedan fwd14
chrysler,300 4dr sedan hemi rwd,11,505,191,149,305,1937,139,63,34,89,118,92,108,163,162,54/46,300 4dr sedan hemi rwd11
chrysler,300 4dr sedan v6 awd,11,505,191,149,305,2047,139,63,34,89,118,92,108,163,162,54/46,300 4dr sedan v6 awd11
chrysler,300 4dr sedan v6 rwd,11,505,191,149,305,1797,139,63,34,89,118,92,108,163,162,52/48,300 4dr sedan v6 rwd11
dodge,dart 4dr sedan,13,468,183,147,271,1445,121,50,36,79,111,98,99,157,158,61/39,dart 4dr sedan13
dodge,durango 4dr suv awd v6,11,508,193,180,304,2262,131,218,40,96,125,86,118,162,163,56/44,durango 4dr suv awd v611
dodge,durango 4dr suv awd v8,11,508,193,180,304,2418,131,218,40,96,125,86,118,162,163,56/44,durango 4dr suv awd v811
dodge,viper 2dr coupe,14,446,194,125,251,1497,175,40,22,75,112,90,104,160,155,50/50,viper 2dr coupe14
fiat,500 2 dr hatchback pop/sport/lounge,11,355,163,152,230,1068,80,61,37,84,101,71,54,142,140,62/38,500 2 dr hatchback pop/sport/lounge11
fiat,500 2 dr hatchback turbo/abarth,12,367,163,150,230,1130,88,37,34,85,104,78,59,141,141,62/38,500 2 dr hatchback turbo/abarth12
fiat,500c 2 dr hatchback convertible pop/lounge,11,355,163,152,230,1098,80,61,37,84,101,71,54,142,140,63/37,500c 2 dr hatchback convertible pop/lounge11
fiat,500c 2 dr hatchback convertible turbo/abarth,12,367,163,150,230,1130,88,37,34,85,104,78,59,141,141,62/38,500c 2 dr hatchback convertible turbo/abarth12
fiat,500l 4dr hatchback pop/sport/trekking/lounge,13,425,179,165,261,1476,93,137,40,87,110,86,78,151,151,61/39,500l 4dr hatchback pop/sport/trekking/lounge13
ford,c-max energi 4dr hatchback,12,442,183,162,265,1750,98,150,43,89,117,91,86,154,153,59/41,c-max energi 4dr hatchback12
ford,c-max hybrid 4dr hatchback,12,442,183,162,265,1636,98,150,43,89,117,91,86,154,153,59/41,c-max hybrid 4dr hatchback12
ford,escape 4dr suv awd,12,454,184,168,269,1713,105,166,40,89,114,93,92,156,157,57/43,escape 4dr suv awd12
ford,escape 4dr suv fwd,12,454,184,168,269,1635,105,166,40,89,114,93,92,156,157,57/43,escape 4dr suv fwd12
ford,f-150 p/u reg cab 6.5-ft box 2wd,14,527,203,192,311,1837,133,247,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 6.5-ft box 2wd14
ford,f-150 p/u reg cab 6.5-ft box 4x4,14,527,203,195,311,1955,133,247,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 6.5-ft box 4x414
ford,f-150 p/u reg cab 8-ft box 2wd,14,574,203,191,358,1884,133,294,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 8-ft box 2wd14
ford,f-150 p/u reg cab 8-ft box 4x4,14,574,203,195,358,1989,133,294,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 8-ft box 4x414
ford,f-150 p/u super cab 6.5-ft box 2wd,14,584,203,192,368,1983,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 6.5-ft box 2wd14
ford,f-150 p/u super cab 6.5-ft box 4x4,14,584,203,196,368,2081,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 6.5-ft box 4x414
ford,f-150 p/u super cab 8-ft box 2wd,14,632,203,192,416,2059,133,352,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 8-ft box 2wd14
ford,f-150 p/u super cab 8-ft box 4x4,14,632,203,196,416,2217,133,352,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 8-ft box 4x414
ford,f-150 p/u super crew 5.5-ft box 2wd,14,584,203,192,368,2028,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 5.5-ft box 2wd14
ford,f-150 p/u super crew 5.5-ft box 4x4,14,584,203,196,368,2130,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 5.5-ft box 4x414
ford,f-150 p/u super crew 6.5-ft box 2wd,14,614,203,192,398,2087,133,334,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 6.5-ft box 2wd14
ford,f-150 p/u super crew 6.5-ft box 4x4,14,614,203,196,398,2236,133,334,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 6.5-ft box 4x414
ford,f-250 sd p/u crew cab l/box,11,657,203,196,439,2970,145,371,50,89,142,97,121,174,171,N/A,f-250 sd p/u crew cab l/box11
ford,f-250 sd p/u crew cab l/box 4x4,11,657,203,203,439,3149,145,371,50,89,142,97,121,174,171,N/A,f-250 sd p/u crew cab l/box 4x411
ford,f-250 sd p/u crew cab s/box,11,617,203,197,399,2922,145,331,50,89,142,97,121,174,171,N/A,f-250 sd p/u crew cab s/box11
ford,f-250 sd p/u crew cab s/box 4x4,11,617,203,202,399,3097,145,331,50,89,142,97,121,174,171,N/A,f-250 sd p/u crew cab s/box 4x411
ford,f-250 sd p/u reg cab l/box,11,568,203,195,350,2695,145,282,50,89,142,97,121,174,171,N/A,f-250 sd p/u reg cab l/box11
ford,f-250 sd p/u reg cab l/box 4x4,11,568,203,201,350,2881,145,282,50,89,142,97,121,174,171,N/A,f-250 sd p/u reg cab l/box 4x411
ford,f-250 sd p/u super cab l/box,11,621,203,195,403,2870,145,335,50,89,142,97,121,174,171,N/A,f-250 sd p/u super cab l/box11
ford,f-250 sd p/u super cab l/box 4x4,11,621,203,201,403,3053,145,335,50,89,142,97,121,174,171,N/A,f-250 sd p/u super cab l/box 4x411
ford,f-250 sd p/u super cab s/box,11,581,203,196,363,2826,145,295,50,89,142,97,121,174,171,N/A,f-250 sd p/u super cab s/box11
ford,f-250 sd p/u super cab s/box 4x4,11,581,203,202,363,3007,145,295,50,89,142,97,121,174,171,N/A,f-250 sd p/u super cab s/box 4x411
ford,f-350 sd p/u crew cab l/box,11,657,203,196,439,3001,145,371,50,89,142,97,121,174,171,N/A,f-350 sd p/u crew cab l/box11
ford,f-350 sd p/u crew cab l/box 4x4,11,657,203,205,439,3166,145,371,50,89,142,97,121,174,171,N/A,f-350 sd p/u crew cab l/box 4x411
ford,f-350 sd p/u crew cab l/box drw,11,657,244,196,439,3201,145,371,50,89,142,97,121,174,190,N/A,f-350 sd p/u crew cab l/box drw11
ford,f-350 sd p/u crew cab l/box drw 4x4,11,657,244,203,439,3384,145,371,50,89,142,97,121,174,190,N/A,f-350 sd p/u crew cab l/box drw 4x411
ford,f-350 sd p/u crew cab s/box,11,617,203,196,399,2940,145,331,50,89,142,97,121,174,171,N/A,f-350 sd p/u crew cab s/box11
ford,f-350 sd p/u crew cab s/box 4x4,11,617,203,205,399,3114,145,331,50,89,142,97,121,174,171,N/A,f-350 sd p/u crew cab s/box 4x411
ford,f-350 sd p/u reg cab l/box,11,568,203,194,350,2726,145,282,50,89,142,97,121,174,171,N/A,f-350 sd p/u reg cab l/box11
ford,f-350 sd p/u reg cab l/box 4x4,11,568,203,203,350,2913,145,282,50,89,142,97,121,174,171,N/A,f-350 sd p/u reg cab l/box 4x411
ford,f-350 sd p/u reg cab l/box drw,11,568,244,195,350,2918,145,282,50,89,142,97,121,174,190,N/A,f-350 sd p/u reg cab l/box drw11
ford,f-350 sd p/u reg cab l/box drw 4x4,11,568,244,202,350,3107,145,282,50,89,142,97,121,174,190,N/A,f-350 sd p/u reg cab l/box drw 4x411
ford,f-350 sd p/u super cab l/box,11,621,203,195,403,2888,145,335,50,89,142,97,121,174,171,N/A,f-350 sd p/u super cab l/box11
ford,f-350 sd p/u super cab l/box 4x4,11,621,203,204,403,3070,145,335,50,89,142,97,121,174,171,N/A,f-350 sd p/u super cab l/box 4x411
ford,f-350 sd p/u super cab l/box drw,11,621,244,195,403,3098,145,335,50,89,142,97,121,174,190,N/A,f-350 sd p/u super cab l/box drw11
ford,f-350 sd p/u super cab l/box drw 4x4,11,621,244,202,403,3285,145,335,50,89,142,97,121,174,190,N/A,f-350 sd p/u super cab l/box drw 4x411
ford,f-350 sd p/u super cab s/box,11,581,203,195,363,2857,145,295,50,89,142,97,121,174,171,N/A,f-350 sd p/u super cab s/box11
ford,f-350 sd p/u super cab s/box 4x4,11,581,203,204,363,3033,145,295,50,89,142,97,121,174,171,N/A,f-350 sd p/u super cab s/box 4x411
ford,f-450 sd p/u crew cab l/box drw 4x4,11,657,244,202,439,3906,145,371,50,89,142,97,121,174,190,N/A,f-450 sd p/u crew cab l/box drw 4x411
ford,fiesta 4dr hatch s/se/titanium,13,406,172,148,249,1151,99,121,35,80,104,85,72,147,145,59/41,fiesta 4dr hatch s/se/titanium13
ford,fiesta 4dr sedan s/se/titanium,13,440,172,148,249,1169,99,51,33,80,103,85,106,146,145,59/41,fiesta 4dr sedan s/se/titanium13
ford,fiesta st 4dr hatchback,13,407,172,145,249,1244,99,122,35,82,104,85,73,147,145,59/41,fiesta st 4dr hatchback13
ford,focus 4dr hatchback se/titanium,11,436,183,147,265,1327,105,143,36,80,110,90,82,155,153,60/40,focus 4dr hatchback se/titanium11
ford,focus 4dr sedan s/se/titanium,11,453,183,147,265,1340,106,43,36,81,110,89,99,155,153,60/40,focus 4dr sedan s/se/titanium11
ford,focus electric 4d hatchback,12,438,182,148,265,1666,107,142,37,81,111,92,81,154,152,49/51,focus electric 4d hatchback12
ford,focus st/rs 4dr hatchback,12,439,182,147,265,1475,107,142,37,81,111,92,82,154,152,60/40,focus st/rs 4dr hatchback12
ford,mustang gt 2dr convertible rwd,14,478,192,139,272,1756,153,69,29,81,129,95,112,159,165,54/46,mustang gt 2dr convertible rwd14
ford,mustang gt 2dr coupe rwd,14,478,192,138,272,1681,153,63,29,81,117,95,112,158,165,54/46,mustang gt 2dr coupe rwd14
ford,mustang v6/ecoboost 2dr convertible rwd,14,478,192,139,272,1675,153,69,29,81,129,95,112,159,165,52/48,mustang v6/ecoboost 2dr convertible rwd14
ford,mustang v6/ecoboost 2dr coupe rwd,14,478,192,138,272,1598,153,63,29,81,117,95,112,158,165,52/48,mustang v6/ecoboost 2dr coupe rwd14
ford,police interceptor utility,11,501,200,179,286,2173,118,197,40,95,127,96,117,170,170,N/A,police interceptor utility11
ford,transit connect van xl/xlt,13,481,184,179,306,1624,90,217,49,86,119,87,88,156,158,55/45,transit connect van xl/xlt13
ford,transit connect wagon xl/xlt/titanium,13,481,184,179,306,1804,90,217,49,86,119,87,88,156,158,55/45,transit connect wagon xl/xlt/titanium13
ford,transit van 150 long wb low roof,13,604,207,211,375,2268,82,345,66,105,163,102,126,173,174,N/A,transit van 150 long wb low roof13
ford,transit van 150 long wb medium roof,13,598,207,256,375,2268,82,345,66,105,163,102,120,173,174,N/A,transit van 150 long wb medium roof13
ford,transit van 150 regular wb low roof,13,559,207,212,330,2268,82,300,66,105,163,102,126,173,174,N/A,transit van 150 regular wb low roof13
ford,transit van 150 regular wb medium roof,13,553,207,256,330,2268,82,300,66,105,163,102,120,173,174,N/A,transit van 150 regular wb medium roof13
ford,transit van 250 long wb el high roof,13,670,207,278,375,2268,82,417,66,105,163,102,193,173,174,N/A,transit van 250 long wb el high roof13
ford,transit van 250 long wb high roof,13,598,207,280,375,2268,82,345,66,105,163,102,120,173,174,N/A,transit van 250 long wb high roof13
ford,transit van 250 long wb low roof,13,604,207,211,375,2268,82,345,66,105,163,102,126,173,174,N/A,transit van 250 long wb low roof13
ford,transit van 250 long wb medium roof,13,598,207,256,375,2268,82,345,66,105,163,102,120,173,174,N/A,transit van 250 long wb medium roof13
ford,transit van 250 regular wb low roof,13,559,207,212,330,2268,82,300,66,105,163,102,126,173,174,N/A,transit van 250 regular wb low roof13
ford,transit van 250 regular wb medium roof,13,553,207,256,330,2268,82,300,66,105,163,102,120,173,174,N/A,transit van 250 regular wb medium roof13
ford,transit van 350 long wb el high roof,13,670,207,278,375,2318,82,417,66,105,163,102,193,173,174,N/A,transit van 350 long wb el high roof13
ford,transit van 350 long wb high roof,13,598,207,280,375,2318,82,345,66,105,163,102,120,173,174,N/A,transit van 350 long wb high roof13
ford,transit van 350 long wb low roof,13,604,207,211,375,2318,82,345,66,105,163,102,126,173,174,N/A,transit van 350 long wb low roof13
ford,transit van 350 long wb medium roof,13,598,207,256,375,2318,82,345,66,105,163,102,120,173,174,N/A,transit van 350 long wb medium roof13
ford,transit van 350hd drw el high roof,13,670,213,278,375,2590,82,417,66,105,163,102,193,173,167,N/A,transit van 350hd drw el high roof13
ford,transit wagon 150 low roof,13,559,207,209,330,2526,82,300,66,105,163,102,126,173,174,N/A,transit wagon 150 low roof13
ford,transit wagon 150 mid roof,13,553,207,251,330,2526,82,300,66,105,163,102,120,173,174,N/A,transit wagon 150 mid roof13
ford,transit wagon 350 high roof,13,598,207,276,375,2881,82,345,66,105,163,102,120,173,174,N/A,transit wagon 350 high roof13
ford,transit wagon 350 low roof,13,604,207,209,375,2881,82,345,66,105,163,102,126,173,174,N/A,transit wagon 350 low roof13
ford,transit wagon 350 mid roof,13,598,207,252,375,2881,82,345,66,105,163,102,120,173,174,N/A,transit wagon 350 mid roof13
ford,transit wagon 350hd drw high roof,13,670,213,274,375,3016,82,417,66,105,163,102,193,173,167,N/A,transit wagon 350hd drw high roof13
gmc,acadia 4dr suv awd,13,511,200,185,302,2200,106,207,41,89,114,98,111,170,170,55/45,acadia 4dr suv awd13
gmc,acadia 4dr suv fwd,13,511,200,185,302,2112,106,207,41,89,114,98,111,171,170,55/45,acadia 4dr suv fwd13
gmc,canyon crew cab l/box 2wd,14,571,189,179,357,1932,136,306,40,88,112,94,120,158,158,57/43,canyon crew cab l/box 2wd14
gmc,canyon crew cab l/box 4x4,14,571,189,179,357,2032,136,306,40,88,112,94,120,158,158,57/43,canyon crew cab l/box 4x414
gmc,canyon crew cab s/box 2wd,14,540,189,179,326,1833,136,275,40,88,112,94,120,158,158,57/43,canyon crew cab s/box 2wd14
gmc,canyon crew cab s/box 4x4,14,540,189,179,326,2001,136,275,40,88,112,94,120,158,158,57/43,canyon crew cab s/box 4x414
gmc,canyon extended cab l/box 2wd,14,540,189,179,326,1791,136,275,40,88,112,94,120,158,158,57/43,canyon extended cab l/box 2wd14
gmc,canyon extended cab l/box 4x4,14,540,189,179,326,1891,136,275,40,88,112,94,120,158,158,57/43,canyon extended cab l/box 4x414
gmc,sierra 1500 crew cab m/box 2wd,13,598,203,187,389,2341,136,328,44,89,129,100,108,175,172,57/43,sierra 1500 crew cab m/box 2wd13
gmc,sierra 1500 crew cab m/box 4x4,13,598,203,188,389,2431,136,328,44,89,129,100,108,175,172,59/41,sierra 1500 crew cab m/box 4x413
gmc,sierra 1500 crew cab m/box denali,13,598,203,188,389,2415,136,328,44,89,129,100,108,175,172,59/41,sierra 1500 crew cab m/box denali13
gmc,sierra 1500 crew cab s/box 2wd,13,573,203,188,365,2301,136,304,44,89,129,100,108,175,172,56/44,sierra 1500 crew cab s/box 2wd13
gmc,sierra 1500 crew cab s/box 4x4,13,573,203,188,365,2394,136,304,44,89,129,100,108,175,172,58/42,sierra 1500 crew cab s/box 4x413
gmc,sierra 1500 crew cab s/box denali,13,573,203,188,365,2371,136,304,44,89,129,100,108,175,172,58/42,sierra 1500 crew cab s/box denali13
gmc,sierra 1500 double cab m/box 2wd,13,573,203,188,365,2269,136,304,44,89,129,100,108,175,172,58/42,sierra 1500 double cab m/box 2wd13
gmc,sierra 1500 double cab m/box 4x4,13,573,203,188,365,2366,136,304,44,89,129,100,108,175,172,59/41,sierra 1500 double cab m/box 4x413
gmc,sierra 1500 reg cab l/box 2wd,13,559,203,187,338,2127,136,283,44,89,129,100,120,175,172,58/42,sierra 1500 reg cab l/box 2wd13
gmc,sierra 1500 reg cab l/box 4x4,13,559,203,187,338,2246,136,283,44,89,129,100,120,175,172,59/41,sierra 1500 reg cab l/box 4x413
gmc,sierra 1500 reg cab m/box 2wd,13,511,203,188,302,2051,136,234,44,89,129,100,108,175,172,58/42,sierra 1500 reg cab m/box 2wd13
gmc,sierra 1500 reg cab m/box 4x4,13,511,203,188,302,2154,136,234,44,89,129,100,108,175,172,60/40,sierra 1500 reg cab m/box 4x413
gmc,sierra 2500hd crew cab l/box 2wd,14,646,203,198,426,2836,136,376,44,89,129,100,120,175,172,N/A,sierra 2500hd crew cab l/box 2wd14
gmc,sierra 2500hd crew cab l/box 4x4,14,646,203,198,426,2991,136,376,44,89,129,100,120,175,172,N/A,sierra 2500hd crew cab l/box 4x414
gmc,sierra 2500hd crew cab m/box 2wd,14,598,203,199,390,2791,136,328,44,89,129,100,108,175,172,N/A,sierra 2500hd crew cab m/box 2wd14
gmc,sierra 2500hd crew cab m/box 4x4,14,598,203,199,390,2918,136,328,44,89,129,100,108,175,172,N/A,sierra 2500hd crew cab m/box 4x414
gmc,sierra 2500hd crew cab m/box 4x4 denali,14,598,203,199,390,2971,136,328,44,89,129,100,108,175,172,N/A,sierra 2500hd crew cab m/box 4x4 denali14
gmc,sierra 2500hd double cab l/box 2wd,14,622,203,198,402,2836,136,352,44,89,129,100,120,175,172,N/A,sierra 2500hd double cab l/box 2wd14
gmc,sierra 2500hd double cab l/box 4x4,14,622,203,198,402,2991,136,352,44,89,129,100,120,175,172,N/A,sierra 2500hd double cab l/box 4x414
gmc,sierra 2500hd double cab m/box 2wd,14,573,203,198,366,2791,136,304,44,89,129,100,108,175,172,N/A,sierra 2500hd double cab m/box 2wd14
